"Date","timeid","plot_id","Year","BBCH","var","rep","nitrogen","appl","Acc_Temperature","Acc_Percipitation","Acc_Radiation","sowingD","Das"
2018-11-10,"Early",25,"2019","09","Capone",1,176,"Combined",145.1875,7,67.09824,"2018-10-25",16
2018-11-10,"Early",84,"2019","09","Capone",3,176,"Split",145.1875,7,67.09824,"2018-10-25",16
2018-11-10,"Early",76,"2019","09","Apertus",3,220,"Combined",145.1875,7,67.09824,"2018-10-25",16
2018-11-10,"Early",2,"2019","09","Capone",1,220,"Combined",145.1875,7,67.09824,"2018-10-25",16
2018-11-10,"Early",7,"2019","09","Capone",1,176,"Split",145.1875,7,67.09824,"2018-10-25",16
2018-11-10,"Early",91,"2019","09","Capone",3,220,"Split",145.1875,7,67.09824,"2018-10-25",16
2018-11-10,"Early",32,"2019","09","Capone",1,220,"Split",145.1875,7,67.09824,"2018-10-25",16
2018-11-10,"Early",73,"2019","09","Capone",3,220,"Combined",145.1875,7,67.09824,"2018-10-25",16
2018-11-10,"Early",51,"2019","09","Capone",2,220,"Combined",145.1875,7,67.09824,"2018-10-25",16
2018-11-10,"Early",55,"2019","09","Capone",2,176,"Combined",145.1875,7,67.09824,"2018-10-25",16
2018-11-11,"Early",1,"2019","09","Pionier",1,220,"Combined",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",38,"2019","09","Capone",2,176,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",37,"2019","09","Pionier",2,176,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",27,"2019","09","Apertus",1,176,"Combined",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",31,"2019","09","Pionier",1,220,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",47,"2019","09","Capone",2,220,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",50,"2019","09","Apertus",2,220,"Combined",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",75,"2019","09","Pionier",3,220,"Combined",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",40,"2019","09","Apertus",2,176,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",65,"2019","09","Pionier",3,176,"Combined",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",29,"2019","09","Apertus",1,220,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",82,"2019","09","Pionier",3,176,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",46,"2019","09","Apertus",2,220,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",3,"2019","09","Apertus",1,220,"Combined",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",81,"2019","09","Apertus",3,176,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",28,"2019","09","Pionier",1,176,"Combined",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",5,"2019","09","Apertus",1,176,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",53,"2019","09","Apertus",2,176,"Combined",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",66,"2019","09","Apertus",3,176,"Combined",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",89,"2019","09","Pionier",3,220,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",6,"2019","09","Pionier",1,176,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",67,"2019","09","Capone",3,176,"Combined",157.841666666667,7.34,70.42932,"2018-10-25",17
2018-11-11,"Early",90,"2019","09","Apertus",3,220,"Split",157.841666666667,7.34,70.42932,"2018-10-25",17
